,Unnamed: 0,Hotel_Name,Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,is_photo,review_title,hotel_grade,employee_friendliness_score,facility_score,cleanliness_score,comfort_score,value_for_money_score,location_score,Crawled_date,title_length,text_length,time_lapsed,Deviation of star ratings,FOG Index,Flesch Reading Ease,ContentDepth,ContentBreadth
838,838,point-a-london-liverpool-street,"Bed was super comfortable, staff are great, I enjoyed my stayVery little room to walk around, hardly any space for a suitcase",2024-01-29,10.0,7.7,8323,0,0,Great stay,3,8.5,7.8,8.1,8.1,7.6,9.2,2024-12-02,2,22,308,2.3,10.62,74.53,1.4978039250143063,0.6290296451816084
839,839,sidneyhotel,"amazing location, good value for money but missing small details like the beds being at least tided everyday and check in took 45 minutesstaff seemed annoyed if I had questions, beds werent made everyday and breakfast could be improved",2022-02-14,6.0,7.8,12641,0,0,"pleasant, lovely location, rooms are simple but vie was bins out the back and beds not made every dsy",3,8.7,7.8,8.3,8.3,7.9,9.1,2024-12-02,19,39,1022,1.7999999999999998,16.63,40.35,1.219054377434552,0.690532094150842
840,840,park-plaza-county-hall,The location was excellent and facilities were goodThe shower leaked over the floor and housekeeping walked straight into our room at 830 in the morning and we hadnt digitally checked out via the app or at reception  Rather awkward as I was in the shower and my wife and child were getting dressed for the day,2022-04-02,8.0,8.6,11045,0,0,"fantastic location, standard of cleanliness and room condition were excellent",4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02,10,56,975,0.5999999999999996,26.69,31.56,2.3469876362256796,0.7049026830975467
841,841,blakemore,"Lovely outside area 
Great size bed really comfortableNo mini bar in room fridge was empty No room service after eleven or didnt seem to be as no one answered the phone",2024-10-25,8.0,8.3,12340,0,0,Comfortable and clean  very good location,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02,6,31,38,0.3000000000000007,13.69,56.93,0.44491048233644603,2.1705309371926806
842,842,the-belgrave,"Amazing hotel, staff were so friendly and helpful, the room was just as described and the balcony was an amazing additionRoom small so would maybe go for a bigger room next time",2022-02-21,10.0,8.6,5715,0,0,Amazing,4,9.1,8.6,9.1,9.0,8.3,9.2,2024-12-02,1,32,1015,1.4000000000000004,14.05,64.38,0.5480574971546346,0.8823507199277539
843,843,astorcourthotel,"A person can make an experience positive or negative from the beginning, that was what happened to me as soon as I arrived at the Ibis London hotel  When we checked in, the receptionist was very kind, at the time of making the payment she told me that I needed my credit card in physical form or payment with ApplePay, I told her that due to the commissions for the currency exchange of my bank only had a card in digital format to make my payments in the UK  Even so, the hotels payment terminal does not manage to close the payment with my card and the receptionist asks the colleague, who replies in a very unpleasant way that it is not her problem and that I have to make the payment with a physical card, yes or yes   Thanks to this good management of the hotel staff, my Spanish bank charged me a commission of 75",2022-04-22,7.0,7.9,7132,1,0,Good,3,8.8,7.8,8.0,8.0,7.5,8.9,2024-12-02,1,157,955,0.9000000000000004,65.86,-70.97,2.2522242150133214,0.6302220474223024
844,844,nyx-hotel-london-by-leonardo-hotels,"La localisation, le personnel et les chambres",2023-11-01,10.0,8.4,9394,0,0,AMAZING,5,8.7,8.7,8.8,8.9,7.9,9.3,2024-12-02,1,7,397,1.5999999999999996,14.23,30.53,1.8322687445103643,2.312812822249181
845,845,montcalm-chilworth-townhouse,"A quite area of London with very close by infrastructure such as Underground and train station alongside very close to Hyde Park 

Very cute Christmas decorations and a welcoming atmosphere, greeted very pleasantly by staff 
Room is spacious and clean and comfortable a warm room, plenty of space, and a thank you for the appreciation of the kind gestures for my anniversary

Staff are very professional and helpfulJust a little rust and dirt on the bathroom edges but no harm done",2021-12-05,9.0,7.7,9205,0,1,perfect anniversary,5,8.6,7.8,8.2,8.3,7.4,9.1,2024-12-02,2,81,1093,1.2999999999999998,37.34,6.18,2.2302495098507986,0.3758028546174033
846,846,windsorhousehotel,"Good location, staff was helpful Very clean roomThe Bed was very had",2023-07-10,8.0,8.0,6335,0,0,Decent hotel near Earls Court road,4,8.2,8.1,8.5,8.6,7.7,9.1,2024-12-02,6,12,511,0.0,8.13,84.68,0.9611752431291305,0.7005522543746681
847,847,phoenixhotel,"Breakfast exceeded expectations for continentalRoom tiny, like a cell Bathroom even smaller, more room on a cruise ship",2022-10-23,5.0,8.2,5898,0,0,Passable,4,9.0,8.1,8.7,8.5,8.3,9.2,2024-12-02,1,18,771,3.1999999999999993,13.87,44.75,1.6044407337231332,1.4098902821155008
